#domain,ioc,IPs,C2Domains
"0o0.foo","Possible Cobaltstrike DNS C2 Domain","47.129.171.26","ns.1.3.0o0.foo ns.1.4.0o0.foo"
"227api.com","Possible Cobaltstrike DNS C2 Domain","154.83.12.115","at1.227api.com at2.227api.com at3.227api.com"
"admlistdel.com","Possible Cobaltstrike DNS C2 Domain","107.173.122.193","ns1.admlistdel.com ns2.admlistdel.com ns3.admlistdel.com"
"akawowfast.com","Possible Cobaltstrike DNS C2 Domain","139.180.189.95","ns1.akawowfast.com ns2.akawowfast.com ns3.akawowfast.com"
"amelicen.com","Possible Cobaltstrike DNS C2 Domain","216.238.121.119","file1.amelicen.com file2.amelicen.com file3.amelicen.com"
"asdxxcg.top","Possible Cobaltstrike DNS C2 Domain","113.45.238.149","ns1.asdxxcg.top"
"asianinvasion.net","Possible Cobaltstrike DNS C2 Domain","34.250.243.136","ns1.asianinvasion.net"
"asuscomm.com","Possible Cobaltstrike DNS C2 Domain","38.54.112.234 85.175.101.203","asusupdateserver.asuscomm.com skynet-i.asuscomm.com"
"awscloudfont.com","Possible Cobaltstrike DNS C2 Domain","45.154.1.195","csdnsnew1.awscloudfont.com csdnsnew2.awscloudfont.com"
"b0t.me","Possible Cobaltstrike DNS C2 Domain","104.248.16.75","sp.b0t.me"
"bewiser.at","Possible Cobaltstrike DNS C2 Domain","95.179.137.233","ns1.bewiser.at"
"ceshi897.cn","Possible Cobaltstrike DNS C2 Domain","154.219.109.205","ns1.ceshi897.cn ns2.ceshi897.cn ns3.ceshi897.cn"
"checkavail.space","Possible Cobaltstrike DNS C2 Domain","191.101.46.247","dns.checkavail.space ns.checkavail.space"
"cioudfiear.com","Possible Cobaltstrike DNS C2 Domain","18.222.126.236","ns1.cioudfiear.com"
"cmbchina.top","Possible Cobaltstrike DNS C2 Domain","8.219.78.159","ns1.cmbchina.top ns2.cmbchina.top"
"connectivitytests.com","Possible Cobaltstrike DNS C2 Domain","171.244.143.184","ns1.connectivitytests.com ns2.connectivitytests.com"
"connectlink.top","Possible Cobaltstrike DNS C2 Domain","38.55.198.247","ns1.connectlink.top ns2.connectlink.top ns3.connectlink.top"
"cxtwh.top","Possible Cobaltstrike DNS C2 Domain","172.245.17.142","ns1.cxtwh.top"
"e-twfpg.com","Possible Cobaltstrike DNS C2 Domain","35.77.36.214","ncs.e-twfpg.com"
"enaz.shop","Possible Cobaltstrike DNS C2 Domain","47.237.86.35","ns1.enaz.shop ns2.enaz.shop ns3.enaz.shop"
"flashcloud.icu","Possible Cobaltstrike DNS C2 Domain","124.156.107.3","ns1.flashcloud.icu ns2.flashcloud.icu"
"fuckworldxxx.shop","Possible Cobaltstrike DNS C2 Domain","43.139.50.42","ns1.fuckworldxxx.shop ns2.fuckworldxxx.shop ns3.fuckworldxxx.shop"
"globalcdn.autos","Possible Cobaltstrike DNS C2 Domain","116.205.143.204","dns1.globalcdn.autos"
"hkappdev.com","Possible Cobaltstrike DNS C2 Domain","45.32.114.118","ns1.hkappdev.com ns2.hkappdev.com"
"idc.zone","Possible Cobaltstrike DNS C2 Domain","43.135.99.3","online.idc.zone"
"ip-ddns.com","Possible Cobaltstrike DNS C2 Domain","169.239.129.45","ns1.drgeregweg.ip-ddns.com ns2.drgeregweg.ip-ddns.com ns3.drgeregweg.ip-ddns.com"
"jiayongdianqi.xyz","Possible Cobaltstrike DNS C2 Domain","45.135.118.251","dianqi1.dianqi2.jiayongdianqi.xyz dianqi1.jiayongdianqi.xyz dianqi2.dianqi1.jiayongdianqi.xyz dianqi2.jiayongdianqi.xyz"
"jk001.cc","Possible Cobaltstrike DNS C2 Domain","43.100.59.154","ns3.jk001.cc ns4.jk001.cc"
"jk002.cc","Possible Cobaltstrike DNS C2 Domain","43.100.59.154","jk002.cc"
"johnchen88.com","Possible Cobaltstrike DNS C2 Domain","43.139.189.54","n1.johnchen88.com"
"jquery.cn.com","Possible Cobaltstrike DNS C2 Domain","101.32.203.53","ns1.jquery.cn.com"
"judicical.ml","Possible Cobaltstrike DNS C2 Domain","45.32.125.231","check.judicical.ml check1.judicical.ml"
"jumpservers.net","Possible Cobaltstrike DNS C2 Domain","16.162.137.167","ns.jumpservers.net"
"mailinfo.life","Possible Cobaltstrike DNS C2 Domain","38.207.176.86","ns1.mailinfo.life ns2.mailinfo.life"
"micorsoft.co","Possible Cobaltstrike DNS C2 Domain","47.239.127.205","ns.micorsoft.co"
"microsoft.club","Possible Cobaltstrike DNS C2 Domain","20.169.41.5","update.microsoft.club"
"mloadspring.com","Possible Cobaltstrike DNS C2 Domain","70.34.196.238","update.mloadspring.com upgrade.mloadspring.com"
"nongfushan.org","Possible Cobaltstrike DNS C2 Domain","120.27.235.78","log.nongfushan.org"
"p0c.xyz","Possible Cobaltstrike DNS C2 Domain","165.232.71.57","somehost.p0c.xyz"
"phermera.ru","Possible Cobaltstrike DNS C2 Domain","206.81.21.87","mail-exchange.phermera.ru"
"printermaintenanceservice.com","Possible Cobaltstrike DNS C2 Domain","104.223.120.202","mail.printermaintenanceservice.com owa.printermaintenanceservice.com printermaintenanceservice.com profile.printermaintenanceservice.com"
"soft-storelive.com","Possible Cobaltstrike DNS C2 Domain","8.209.116.25","apps.soft-storelive.com office.soft-storelive.com"
"todesks.help","Possible Cobaltstrike DNS C2 Domain","101.42.239.131","api.todesks.help ns1.todesks.help ns2.todesks.help"
"translategoos.com","Possible Cobaltstrike DNS C2 Domain","207.148.68.118","ns1.translategoos.com ns2.translategoos.com ns3.translategoos.com"
"xiaotusu.top","Possible Cobaltstrike DNS C2 Domain","119.8.124.29","ns1.ns.xiaotusu.top ns2.ns.xiaotusu.top"
"xzbxhy.com","Possible Cobaltstrike DNS C2 Domain","149.30.232.116","ns1.xzbxhy.com"
"yukklzwo.vip","Possible Cobaltstrike DNS C2 Domain","141.98.10.146","ns.yukklzwo.vip ns1.yukklzwo.vip ns2.yukklzwo.vip"

