#ip,port,ioc
1.117.72.208,80,Possible Cobaltstrike C2 IP
1.117.72.208,8080,Possible Cobaltstrike C2 IP
1.117.93.65,54847,Possible Cobaltstrike C2 IP
1.118.34.218,443,Possible Cobaltstrike C2 IP
1.118.34.218,80,Possible Cobaltstrike C2 IP
1.12.226.143,8888,Possible Cobaltstrike C2 IP
1.12.227.144,443,Possible Cobaltstrike C2 IP
1.13.255.117,61111,Possible Cobaltstrike C2 IP
1.14.243.229,443,Possible Cobaltstrike C2 IP
1.71.0.100,443,Possible Cobaltstrike C2 IP
1.92.100.58,9998,Possible Cobaltstrike C2 IP
1.92.105.144,8088,Possible Cobaltstrike C2 IP
1.92.109.24,7777,Possible Cobaltstrike C2 IP
1.92.137.130,20013,Possible Cobaltstrike C2 IP
1.92.156.179,5555,Possible Cobaltstrike C2 IP
1.92.86.239,65534,Possible Cobaltstrike C2 IP
1.92.86.239,9999,Possible Cobaltstrike C2 IP
1.92.91.192,80,Possible Cobaltstrike C2 IP
1.94.113.96,50001,Possible Cobaltstrike C2 IP
1.94.115.186,80,Possible Cobaltstrike C2 IP
1.94.149.77,443,Possible Cobaltstrike C2 IP
1.94.149.77,80,Possible Cobaltstrike C2 IP
1.94.172.68,80,Possible Cobaltstrike C2 IP
1.94.19.136,65533,Possible Cobaltstrike C2 IP
1.94.195.62,8888,Possible Cobaltstrike C2 IP
1.94.20.100,7000,Possible Cobaltstrike C2 IP
1.94.204.34,2096,Possible Cobaltstrike C2 IP
1.94.204.34,8443,Possible Cobaltstrike C2 IP
1.94.221.238,443,Possible Cobaltstrike C2 IP
1.94.221.238,80,Possible Cobaltstrike C2 IP
1.94.232.200,80,Possible Cobaltstrike C2 IP
1.94.52.236,8080,Possible Cobaltstrike C2 IP
1.94.56.82,4444,Possible Cobaltstrike C2 IP
1.94.6.24,4444,Possible Cobaltstrike C2 IP
1.94.6.24,6666,Possible Cobaltstrike C2 IP
1.94.63.197,4444,Possible Cobaltstrike C2 IP
1.94.63.197,9999,Possible Cobaltstrike C2 IP
1.94.67.222,443,Possible Cobaltstrike C2 IP
100.25.52.104,443,Possible Cobaltstrike C2 IP
101.126.18.76,7979,Possible Cobaltstrike C2 IP
101.126.21.197,2087,Possible Cobaltstrike C2 IP
101.133.136.63,80,Possible Cobaltstrike C2 IP
101.133.156.69,7001,Possible Cobaltstrike C2 IP
101.133.157.22,2222,Possible Cobaltstrike C2 IP
101.133.224.88,443,Possible Cobaltstrike C2 IP
101.133.229.117,18080,Possible Cobaltstrike C2 IP
101.133.238.18,30001,Possible Cobaltstrike C2 IP
101.133.238.18,9001,Possible Cobaltstrike C2 IP
101.133.238.18,9002,Possible Cobaltstrike C2 IP
101.200.120.228,443,Possible Cobaltstrike C2 IP
101.200.120.228,80,Possible Cobaltstrike C2 IP
101.200.180.68,80,Possible Cobaltstrike C2 IP
101.200.193.211,443,Possible Cobaltstrike C2 IP
101.200.223.34,443,Possible Cobaltstrike C2 IP
101.200.241.19,80,Possible Cobaltstrike C2 IP
101.200.38.121,2345,Possible Cobaltstrike C2 IP
101.200.38.121,80,Possible Cobaltstrike C2 IP
101.200.57.180,443,Possible Cobaltstrike C2 IP
101.200.86.179,8089,Possible Cobaltstrike C2 IP
101.201.118.20,4499,Possible Cobaltstrike C2 IP
101.201.118.20,5555,Possible Cobaltstrike C2 IP
101.201.118.20,8099,Possible Cobaltstrike C2 IP
101.201.247.232,4433,Possible Cobaltstrike C2 IP
101.201.247.232,803,Possible Cobaltstrike C2 IP
101.201.54.74,11,Possible Cobaltstrike C2 IP
101.201.54.74,2222,Possible Cobaltstrike C2 IP
101.201.54.74,443,Possible Cobaltstrike C2 IP
101.201.54.74,80,Possible Cobaltstrike C2 IP
101.237.129.4,5555,Possible Cobaltstrike C2 IP
101.32.37.92,443,Possible Cobaltstrike C2 IP
101.34.209.220,8099,Possible Cobaltstrike C2 IP
101.34.240.103,80,Possible Cobaltstrike C2 IP
101.34.54.173,62000,Possible Cobaltstrike C2 IP
101.34.60.206,4444,Possible Cobaltstrike C2 IP
101.34.82.117,9443,Possible Cobaltstrike C2 IP
101.35.141.80,10088,Possible Cobaltstrike C2 IP
101.35.141.80,8443,Possible Cobaltstrike C2 IP
101.35.227.40,443,Possible Cobaltstrike C2 IP
101.35.228.105,11443,Possible Cobaltstrike C2 IP
101.35.228.105,20443,Possible Cobaltstrike C2 IP
101.35.228.105,443,Possible Cobaltstrike C2 IP
101.35.228.105,4431,Possible Cobaltstrike C2 IP
101.35.228.105,44443,Possible Cobaltstrike C2 IP
101.35.235.124,4444,Possible Cobaltstrike C2 IP
101.35.247.253,8443,Possible Cobaltstrike C2 IP
101.35.45.108,50001,Possible Cobaltstrike C2 IP
101.36.111.175,6379,Possible Cobaltstrike C2 IP
101.36.111.47,53,Possible Cobaltstrike C2 IP
101.36.111.47,9999,Possible Cobaltstrike C2 IP
101.36.117.41,8081,Possible Cobaltstrike C2 IP
101.36.117.41,8082,Possible Cobaltstrike C2 IP
101.36.117.41,8086,Possible Cobaltstrike C2 IP
101.36.117.41,8880,Possible Cobaltstrike C2 IP
101.36.117.53,80,Possible Cobaltstrike C2 IP
101.37.34.164,47535,Possible Cobaltstrike C2 IP
101.42.104.135,4321,Possible Cobaltstrike C2 IP
101.42.138.80,22551,Possible Cobaltstrike C2 IP
101.42.138.80,7000,Possible Cobaltstrike C2 IP
101.42.139.171,443,Possible Cobaltstrike C2 IP
101.42.4.160,80,Possible Cobaltstrike C2 IP
101.42.4.160,8089,Possible Cobaltstrike C2 IP
101.42.53.79,80,Possible Cobaltstrike C2 IP
101.43.109.204,8888,Possible Cobaltstrike C2 IP
101.43.112.155,443,Possible Cobaltstrike C2 IP
101.43.112.155,8081,Possible Cobaltstrike C2 IP
101.43.125.25,4567,Possible Cobaltstrike C2 IP
101.43.149.38,443,Possible Cobaltstrike C2 IP
101.43.149.38,9090,Possible Cobaltstrike C2 IP
101.43.16.149,80,Possible Cobaltstrike C2 IP
101.43.166.60,5555,Possible Cobaltstrike C2 IP
101.43.2.116,80,Possible Cobaltstrike C2 IP
101.43.254.21,8443,Possible Cobaltstrike C2 IP
101.43.29.8,80,Possible Cobaltstrike C2 IP
101.43.42.134,443,Possible Cobaltstrike C2 IP
101.43.46.181,7799,Possible Cobaltstrike C2 IP
101.43.59.200,6666,Possible Cobaltstrike C2 IP
101.43.64.81,44333,Possible Cobaltstrike C2 IP
101.43.85.101,4443,Possible Cobaltstrike C2 IP
101.43.99.236,61443,Possible Cobaltstrike C2 IP
101.91.125.228,443,Possible Cobaltstrike C2 IP
101.93.221.5,8443,Possible Cobaltstrike C2 IP
101.93.221.5,8880,Possible Cobaltstrike C2 IP
101.99.91.101,8383,Possible Metasploit C2 IP
102.220.23.93,443,Possible Cobaltstrike C2 IP
