#ip,port,ioc
1.12.227.144,443,Possible Cobaltstrike C2 IP
1.92.100.58,9998,Possible Cobaltstrike C2 IP
1.92.105.144,8088,Possible Cobaltstrike C2 IP
1.92.109.24,7777,Possible Cobaltstrike C2 IP
1.92.86.239,9999,Possible Cobaltstrike C2 IP
1.94.204.34,2096,Possible Cobaltstrike C2 IP
1.94.56.82,4444,Possible Cobaltstrike C2 IP
1.94.6.24,4444,Possible Cobaltstrike C2 IP
1.94.6.24,6666,Possible Cobaltstrike C2 IP
1.94.67.222,443,Possible Cobaltstrike C2 IP
101.133.156.69,7001,Possible Cobaltstrike C2 IP
101.133.224.88,443,Possible Cobaltstrike C2 IP
101.200.180.68,80,Possible Cobaltstrike C2 IP
101.200.241.19,80,Possible Cobaltstrike C2 IP
101.200.86.179,8089,Possible Cobaltstrike C2 IP
101.34.209.220,8099,Possible Cobaltstrike C2 IP
101.34.60.206,4444,Possible Cobaltstrike C2 IP
101.35.141.80,10088,Possible Cobaltstrike C2 IP
101.35.141.80,8443,Possible Cobaltstrike C2 IP
101.35.228.105,20443,Possible Cobaltstrike C2 IP
101.35.228.105,44443,Possible Cobaltstrike C2 IP
101.36.111.175,6379,Possible Cobaltstrike C2 IP
101.36.111.47,53,Possible Cobaltstrike C2 IP
101.36.111.47,9999,Possible Cobaltstrike C2 IP
101.36.117.53,80,Possible Cobaltstrike C2 IP
101.42.104.135,4321,Possible Cobaltstrike C2 IP
101.42.53.79,80,Possible Cobaltstrike C2 IP
101.43.112.155,443,Possible Cobaltstrike C2 IP
101.43.112.155,8081,Possible Cobaltstrike C2 IP
101.43.125.25,4567,Possible Cobaltstrike C2 IP
101.43.16.149,80,Possible Cobaltstrike C2 IP
101.43.2.116,80,Possible Cobaltstrike C2 IP
101.43.29.8,80,Possible Cobaltstrike C2 IP
101.43.59.200,6666,Possible Cobaltstrike C2 IP
101.43.85.101,4443,Possible Cobaltstrike C2 IP
101.91.125.228,443,Possible Cobaltstrike C2 IP
101.99.91.101,8383,Possible Metasploit C2 IP
103.106.228.122,443,Possible Metasploit C2 IP
103.127.125.157,9999,Possible Cobaltstrike C2 IP
103.141.1.36,443,Possible Cobaltstrike C2 IP
103.142.102.171,443,Possible Cobaltstrike C2 IP
103.143.81.165,443,Possible Cobaltstrike C2 IP
103.146.179.79,443,Possible Cobaltstrike C2 IP
103.192.178.251,443,Possible Cobaltstrike C2 IP
103.225.196.197,80,Possible Cobaltstrike C2 IP
103.234.72.127,8798,Possible Cobaltstrike C2 IP
103.43.18.230,443,Possible Metasploit C2 IP
104.143.47.137,2087,Possible Cobaltstrike C2 IP
104.155.235.222,53,Possible Cobaltstrike C2 IP
104.168.148.234,443,Possible Cobaltstrike C2 IP
104.168.148.234,80,Possible Cobaltstrike C2 IP
104.168.153.41,80,Possible Cobaltstrike C2 IP
106.14.126.40,80,Possible Cobaltstrike C2 IP
106.14.213.29,80,Possible Cobaltstrike C2 IP
106.14.69.133,8081,Possible Cobaltstrike C2 IP
106.52.207.50,443,Possible Cobaltstrike C2 IP
106.53.16.31,443,Possible Cobaltstrike C2 IP
106.53.44.71,443,Possible Cobaltstrike C2 IP
106.54.199.174,80,Possible Cobaltstrike C2 IP
106.54.46.32,8001,Possible Cobaltstrike C2 IP
106.54.46.32,8002,Possible Cobaltstrike C2 IP
106.54.46.32,8003,Possible Cobaltstrike C2 IP
107.173.250.253,53,Possible Cobaltstrike C2 IP
109.169.66.125,443,Possible Metasploit C2 IP
109.248.6.206,443,Possible Cobaltstrike C2 IP
110.40.138.5,4545,Possible Cobaltstrike C2 IP
110.40.36.87,1234,Possible Cobaltstrike C2 IP
110.42.109.26,54010,Possible Cobaltstrike C2 IP
110.42.214.238,443,Possible Cobaltstrike C2 IP
111.229.142.238,8086,Possible Cobaltstrike C2 IP
111.230.212.37,6789,Possible Cobaltstrike C2 IP
111.230.233.129,443,Possible Cobaltstrike C2 IP
111.230.25.167,80,Possible Cobaltstrike C2 IP
111.230.62.182,53,Possible Cobaltstrike C2 IP
111.231.20.243,8089,Possible Cobaltstrike C2 IP
111.231.20.243,9999,Possible Cobaltstrike C2 IP
111.231.28.71,2222,Possible Cobaltstrike C2 IP
111.92.242.44,443,Possible Cobaltstrike C2 IP
112.124.68.87,2222,Possible Cobaltstrike C2 IP
112.126.94.134,53,Possible Cobaltstrike C2 IP
112.74.95.85,8888,Possible Cobaltstrike C2 IP
113.250.188.15,8454,Possible Cobaltstrike C2 IP
113.250.188.15,8886,Possible Cobaltstrike C2 IP
113.31.103.151,7777,Possible Cobaltstrike C2 IP
113.45.198.147,5600,Possible Cobaltstrike C2 IP
113.45.198.147,8888,Possible Cobaltstrike C2 IP
114.116.246.146,9999,Possible Cobaltstrike C2 IP
114.55.100.165,9998,Possible Cobaltstrike C2 IP
116.196.95.100,80,Possible Cobaltstrike C2 IP
116.207.184.222,443,Possible Cobaltstrike C2 IP
116.62.70.252,443,Possible Cobaltstrike C2 IP
117.50.163.22,8080,Possible Cobaltstrike C2 IP
117.50.186.11,443,Possible Cobaltstrike C2 IP
117.72.39.83,443,Possible Cobaltstrike C2 IP
117.72.41.175,443,Possible Cobaltstrike C2 IP
118.107.4.232,8443,Possible Cobaltstrike C2 IP
118.178.231.121,80,Possible Cobaltstrike C2 IP
118.193.37.157,8889,Possible Cobaltstrike C2 IP
118.25.85.104,4443,Possible Cobaltstrike C2 IP
118.25.85.104,80,Possible Cobaltstrike C2 IP
118.31.16.216,80,Possible Cobaltstrike C2 IP
118.89.116.174,443,Possible Cobaltstrike C2 IP
118.89.116.174,80,Possible Cobaltstrike C2 IP
119.188.123.185,443,Possible Cobaltstrike C2 IP
119.29.132.20,443,Possible Cobaltstrike C2 IP
119.3.153.81,4433,Possible Cobaltstrike C2 IP
119.3.171.150,9600,Possible Cobaltstrike C2 IP
119.3.218.60,8443,Possible Cobaltstrike C2 IP
119.8.106.3,443,Possible Cobaltstrike C2 IP
119.8.106.3,89,Possible Cobaltstrike C2 IP
119.91.243.210,443,Possible Cobaltstrike C2 IP
119.91.247.125,443,Possible Cobaltstrike C2 IP
119.91.56.217,8444,Possible Cobaltstrike C2 IP
119.91.95.88,443,Possible Cobaltstrike C2 IP
120.24.90.39,7474,Possible Cobaltstrike C2 IP
120.26.127.220,443,Possible Cobaltstrike C2 IP
120.26.127.220,87,Possible Cobaltstrike C2 IP
120.33.57.28,8443,Possible Metasploit C2 IP
120.46.212.33,9999,Possible Cobaltstrike C2 IP
120.46.56.20,4321,Possible Cobaltstrike C2 IP
120.53.45.192,443,Possible Cobaltstrike C2 IP
120.53.45.192,80,Possible Cobaltstrike C2 IP
120.55.195.5,9999,Possible Cobaltstrike C2 IP
120.78.91.8,443,Possible Cobaltstrike C2 IP
121.199.56.173,8443,Possible Cobaltstrike C2 IP
121.36.28.194,443,Possible Cobaltstrike C2 IP
