#domain,ioc
0sbs.sbs,Possible Cobalt Strike C2 Domain
1.thecameleonhotel.com,Possible Cobalt Strike C2 Domain
24-692.wpsconnect.org,Possible Cobalt Strike C2 Domain
36.tcp.cpolar.top,Possible Cobalt Strike C2 Fronted Domain
360.net,Possible Cobalt Strike C2 Fronting Domain
3se9ewodke339f0e82.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain
50r4nny5m9wtm.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain
51ape.cc,Possible Cobalt Strike C2 Fronted Domain
52.52mxd.org,Possible Cobalt Strike C2 Fronted Domain
7.tcp.cpolar.top,Possible Cobalt Strike C2 Domain
aaa.ad4min.com,Possible Cobalt Strike C2 Domain
abdullah.ns.cloudflare.com,Possible Cobalt Strike C2 Domain
activityinsight.backupdatasolution.com,Possible Cobalt Strike C2 Domain
adobe.azurefd.net,Possible Cobalt Strike C2 Domain
ads.it-sharepoint.com,Possible Cobalt Strike C2 Domain
agsinsight.backupdatasolution.com,Possible Cobalt Strike C2 Domain
alipay.kfcvm50.us.kg,Possible Cobalt Strike C2 Domain
allmahco.com,Possible Cobalt Strike C2 Domain
alt.host,Possible Cobalt Strike C2 Fronting Domain
ams-wcd.backupdatasolution.com,Possible Cobalt Strike C2 Domain
api.co-operativefinance.com,Possible Cobalt Strike C2 Domain
api.freeresolver.online,Possible Cobalt Strike C2 Domain
api.googleshop.cc,Possible Cobalt Strike C2 Domain
api.nbcbcheck.xyz,Possible Cobalt Strike C2 Domain
api.seamrrobots.ddns-ip.net,Possible Cobalt Strike C2 Domain
api.uploads.winhomesky.com,Possible Cobalt Strike C2 Domain
api.wlndows.net,Possible Cobalt Strike C2 Domain
apiapi.fdsfdsdfdsf.co,Possible Cobalt Strike C2 Domain
apiapi.it121fdg.com,Possible Cobalt Strike C2 Domain
app.connectect.nl,Possible Cobalt Strike C2 Domain
as.svcsghost.com,Possible Cobalt Strike C2 Domain
at1.227api.com,Possible Cobalt Strike C2 Domain
at2.227api.com,Possible Cobalt Strike C2 Domain
at3.227api.com,Possible Cobalt Strike C2 Domain
b1.host,Possible Cobalt Strike C2 Fronted Domain
b2.host,Possible Cobalt Strike C2 Fronted Domain
baidu.611110.xyz,Possible Cobalt Strike C2 Domain
beermanialab.art,Possible Cobalt Strike C2 Fronted Domain
buy.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
c2.baidu.com,Possible Cobalt Strike C2 Domain
c2.tunneltest.store,Possible Cobalt Strike C2 Domain
casaos.oss-cn-shanghai.aliyuncs.com,Possible Cobalt Strike C2 Fronting Domain
catmyinfo.top,Possible Cobalt Strike C2 Domain
cdn.easyjlpt.com,Possible Cobalt Strike C2 Domain
cdn.efstech.de,Possible Cobalt Strike C2 Domain
cdn.inmediavault.com,Possible Cobalt Strike C2 Domain
cdn.looklook.sbs,Possible Cobalt Strike C2 Domain
cdn.saycold.com,Possible Cobalt Strike C2 Domain
cfd.njpji.edu.cn,Possible Cobalt Strike C2 Fronted Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
clinic.allinahealth.us.org,Possible Cobalt Strike C2 Fronted Domain
cloud-sync-bcjxmnarpb.cn-shanghai.fcapp.run,Possible Cobalt Strike C2 Domain
cloudflare.route-api.com,Possible Cobalt Strike C2 Domain
cloudmo.xyz,Possible Cobalt Strike C2 Domain
clould.ip-ddns.com,Possible Cobalt Strike C2 Domain
clubfleetwood.com,Possible Cobalt Strike C2 Domain
cnm.rememdam.xyz,Possible Cobalt Strike C2 Domain
