#domain,ioc
1c-marketing.top,Possible Cobalt Strike C2 Domain
1c-viewer.info,Possible Cobalt Strike C2 Domain
21hjgt71f.sharedomain.top,Possible Cobalt Strike C2 Domain
30ht.com,Possible Cobalt Strike C2 Fronting Domain
360.wangli.cyou,Possible Cobalt Strike C2 Domain
aaa.ad4min.com,Possible Cobalt Strike C2 Domain
action-winds.cfd,Possible Cobalt Strike C2 Domain
api.rayob2.shop,Possible Cobalt Strike C2 Domain
asterchildrenshoes.com,Possible Cobalt Strike C2 Domain
b35977a00ebd8086.safe1.lat,Possible Cobalt Strike C2 Domain
baznas.dompetdhuaafa.biz.id,Possible Cobalt Strike C2 Fronted Domain
bc.hipool.shop,Possible Cobalt Strike C2 Domain
berita-banten.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronting Domain
blmdiscount.com,Possible Cobalt Strike C2 Domain
c2.marfei.zone,Possible Cobalt Strike C2 Domain
catseven.top,Possible Cobalt Strike C2 Domain
cc.cert-ex.net,Possible Cobalt Strike C2 Domain
cc.youku.zip,Possible Cobalt Strike C2 Domain
cdn.efstech.de,Possible Cobalt Strike C2 Domain
cdn.winservers-network.com,Possible Cobalt Strike C2 Fronting Domain
certificatecenter.info,Possible Cobalt Strike C2 Domain
cf907cd9e8f94a93937a6360363420b2.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain
chat.icbcbc.com.cn,Possible Cobalt Strike C2 Domain
check.judicical.ml,Possible Cobalt Strike C2 Domain
check1.judicical.ml,Possible Cobalt Strike C2 Domain
cins.hin7lostvas.pro,Possible Cobalt Strike C2 Domain
cityoall.com,Possible Cobalt Strike C2 Domain
clouds.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
cn1.cdngw.com,Possible Cobalt Strike C2 Domain
colet.capsmono.com,Possible Cobalt Strike C2 Domain
content.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain
cs.h1ll0.cs.in,Possible Cobalt Strike C2 Domain
d3c0hjeoqmryl5.cloudfront.net,Possible Cobalt Strike C2 Domain
d3o8tsrpl5k6yb.cloudfront.net,Possible Cobalt Strike C2 Domain
d3so0g2pxg0u5a.cloudfront.net,Possible Cobalt Strike C2 Domain
d69b6834b7eb46fcb7bbcaa60f9f0f2d.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain
damousese.xyz,Possible Cobalt Strike C2 Domain
dasy.68chat11.com,Possible Cobalt Strike C2 Domain
dianqi1.dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain
dns.163microsoft.com,Possible Cobalt Strike C2 Domain
dns.beenewsdream.net,Possible Cobalt Strike C2 Domain
dns.byresolved.com,Possible Cobalt Strike C2 Domain
dns.cityoall.com,Possible Cobalt Strike C2 Domain
dns.ontexcare.com,Possible Cobalt Strike C2 Domain
dns.otxcosmeticscare.com,Possible Cobalt Strike C2 Domain
download.localhost-microsoft.com,Possible Cobalt Strike C2 Domain
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain
ec-web.staticec.com,Possible Cobalt Strike C2 Fronted Domain
ecomexplosion.com,Possible Cobalt Strike C2 Domain
email.lieamwalls.com,Possible Cobalt Strike C2 Domain
f6d2b014a8664ddd8d859ce64f3741ad.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain
files.jslibc.com,Possible Cobalt Strike C2 Domain
free.iwaf.cn,Possible Cobalt Strike C2 Domain
free2.iwaf.cn,Possible Cobalt Strike C2 Domain
ghs.lidajun.lol,Possible Cobalt Strike C2 Domain
