#domain,ioc,uri_path
0ffline.offes.co.uk,Possible Cobalt Strike C2 Domain,/push
0ffline.offes.co.uk,Possible Cobalt Strike C2 Domain,/updates.rss
1.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/adminhtml
1.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/links
10080.site,Possible Cobalt Strike C2 Domain,/ca
10080.site,Possible Cobalt Strike C2 Domain,/cx
10080.site,Possible Cobalt Strike C2 Domain,/pixel
111.170.8.210,Possible Cobalt Strike C2 Fronted Domain,/FC001/JOHN
1745003471876288.cn-hangzhou.fc.aliyuncs.com,Possible Cobalt Strike C2 Domain,/push
18.197.104.87,Possible Cobalt Strike C2 Fronting Domain,/vlk/grants
1dc9-81-70-58-168.ngrok.io,Possible Cobalt Strike C2 Domain,/ga.js
2.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/adminhtml
2.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/links
3.69.26.135.xip.io,Possible Cobalt Strike C2 Domain,/__utm.gif
3.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/adminhtml
3.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/links
360anquan.tk,Possible Cobalt Strike C2 Domain,/cm
3info.medicalbankform.com,Possible Cobalt Strike C2 Domain,/xmlconnect
4017i36p42.zicp.vip,Possible Cobalt Strike C2 Domain,/dot.gif
52cax.tk,Possible Cobalt Strike C2 Domain,/ca
7zz7.xyz,Possible Cobalt Strike C2 Domain,/image/
81,Possible Cobalt Strike C2 Fronting Domain,/services/data/v36.0/sobjects/account/describe
9wlmskjvkk.execute-api.us-east-1.amazonaws.com,Possible Cobalt Strike C2 Domain,/api/fetch
BrownAdv.azureedge.net,Possible Cobalt Strike C2 Fronted Domain,/discussion/mayo-clinic-radio-als/
X-For-Forwarded,Possible Cobalt Strike C2 Fronting Domain,/_/scs/mail-static/_/js/
X-Forwarded-Fors,Possible Cobalt Strike C2 Fronting Domain,/_/scs/mail-static/_/js/
a.chromedown.xyz,Possible Cobalt Strike C2 Domain,/__utm.gif
a.chromedown.xyz,Possible Cobalt Strike C2 Domain,/dpixel
a.fl-lash.xyz,Possible Cobalt Strike C2 Domain,/ca
a.fl-lash.xyz,Possible Cobalt Strike C2 Domain,/cm
a.officecalendar.biz,Possible Cobalt Strike C2 Domain,/owa/
a.rsasec.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/743-21494898-1923945/field-keywords=man
a.wvwvwv.cf,Possible Cobalt Strike C2 Domain,/pixel
a0awsstatic.com,Possible Cobalt Strike C2 Fronted Domain,/___utm.gif
a93.xyz,Possible Cobalt Strike C2 Domain,/updates.rss
aaa.baibu.cf,Possible Cobalt Strike C2 Domain,/dpixel
aabbcc.qaxlab.com,Possible Cobalt Strike C2 Domain,/template.js
aba.abservers.net,Possible Cobalt Strike C2 Domain,/updates.rss
acc.officeappsreviews.com,Possible Cobalt Strike C2 Domain,/lanche-334e58sfj4eeu7h4dd3sss32d
acme-email.com,Possible Cobalt Strike C2 Fronting Domain,/messages/PVPfKDiP-3UJDVKhPyTFgfk9ZD
ad.h3cdns.com,Possible Cobalt Strike C2 Domain,/__utm.gif
adb.abservers.net,Possible Cobalt Strike C2 Domain,/cx
add.offes.co.uk,Possible Cobalt Strike C2 Domain,/visit.js
admin.md5sum.info,Possible Cobalt Strike C2 Domain,/activity
administrator.pnpwork.xyz,Possible Cobalt Strike C2 Domain,/dot.gif
adobeacrobatupdate.com,Possible Cobalt Strike C2 Domain,/posting
adobeacrobatupdater.com,Possible Cobalt Strike C2 Domain,/hr
adobeflash.org,Possible Cobalt Strike C2 Domain,/g.pixel
adong.cjadong.top,Possible Cobalt Strike C2 Domain,/activity
ads.gellpac.com,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/1930155_
adsense.servehttp.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
adsense.servehttp.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
adsense.servehttp.com,Possible Cobalt Strike C2 Fronted Domain,/oscp/a5076042f7afcad07791609e5d46ad5aaaa75f3574eb6a03cfd90e
ag.yiyebf3.xyz,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
airtribes.net,Possible Cobalt Strike C2 Fronted Domain,/tab_home
akakeycloud.com,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/2020/10/29136388_
aklagar.se,Possible Cobalt Strike C2 Domain,/visit.js
alabamaroma.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
alaskagova.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
alerting.azureedge.net,Possible Cobalt Strike C2 Fronting Domain,/index.php
alerting.azureedge.net,Possible Cobalt Strike C2 Fronting Domain,/login.php
alivod.med126.com,Possible Cobalt Strike C2 Fronted Domain,/ca
aliyunecss.xyz,Possible Cobalt Strike C2 Domain,/api/3
alleave.glogln.com,Possible Cobalt Strike C2 Fronted Domain,/files/april24.dll
amazon.aliyunn.cc,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
amazoncloud.longmusic.com,Possible Cobalt Strike C2 Domain,/request/id/
amusient.com,Possible Cobalt Strike C2 Domain,/jquery-3.5.1.min.js
answersfromtheadvisors.com,Possible Cobalt Strike C2 Domain,/c/msdownload/update/others/2019/12/C-5yN1s3RnIusgJWVSiNI1qGruSRi
aondb-host019.global.ssl.fastly.net,Possible Cobalt Strike C2 Domain,/Validate/logs/90COAK8GCR
apex1.tk,Possible Cobalt Strike C2 Domain,/image/
api-534.azureedge.net,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js
api-enpoints.azureedge.net,Possible Cobalt Strike C2 Domain,/___utm.gif
api.360.net,Possible Cobalt Strike C2 Fronting Domain,/js/jquery-3.3.1.min
api.360.net.cdn.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain,/js/jquery-3.3.1.min
