#domain,ioc,uri_path
072188866d9a4a138a9ce3201778b466.apig.cn-east-3.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
0ffline.offes.co.uk,Possible Cobalt Strike C2 Domain,/match
0ffline.offes.co.uk,Possible Cobalt Strike C2 Domain,/updates.rss
1.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/links
153.3.231.207,Possible Cobalt Strike C2 Fronted Domain,/push
2.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/links
3.baiduyuna.tk,Possible Cobalt Strike C2 Fronted Domain,/adminhtml
3info.medicalbankform.com,Possible Cobalt Strike C2 Fronted Domain,/files/april24.dll
52cax.tk,Possible Cobalt Strike C2 Domain,/ca
9wlmskjvkk.execute-api.us-east-1.amazonaws.com,Possible Cobalt Strike C2 Domain,/api/fetch
9x8np02i09.execute-api.us-west-1.amazonaws.com,Possible Cobalt Strike C2 Domain,/v1/updateCheck
a.attacttest111.tk,Possible Cobalt Strike C2 Domain,/image/
a.chromedown.xyz,Possible Cobalt Strike C2 Domain,/__utm.gif
a.fl-lash.xyz,Possible Cobalt Strike C2 Domain,/ca
a.l1stary.xyz,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
a0.awsstatic.com,Possible Cobalt Strike C2 Fronted Domain,/CWoNaJLBo/VTNeWw11212/
a0.awsstatic.com,Possible Cobalt Strike C2 Fronted Domain,/___utm.gif
a93.xyz,Possible Cobalt Strike C2 Domain,/updates.rss
aba.abservers.net,Possible Cobalt Strike C2 Domain,/updates.rss
abs.wordocoment.com,Possible Cobalt Strike C2 Domain,/log-sys-29292002209d30000022ii0921071812d
acurashu.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
admin.udiab.xyz,Possible Cobalt Strike C2 Domain,/fwlink
ads.gellpac.com,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/1930155_
adsense.servehttp.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
adsense.servehttp.com,Possible Cobalt Strike C2 Fronted Domain,/oscp/a5076042f7afcad07791609e5d46ad5aaaa75f3574eb6a03cfd90e
advmicrodevice.com,Possible Cobalt Strike C2 Domain,/eo
ag.yiyebf3.xyz,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
airtribes.net,Possible Cobalt Strike C2 Fronted Domain,/tab_home
ajax.microsoft.com,Possible Cobalt Strike C2 Fronted Domain,/__utm.gif
akamai-booster.com,Possible Cobalt Strike C2 Domain,/da
alerting.azureedge.net,Possible Cobalt Strike C2 Domain,/settings.php
alivod.med126.com,Possible Cobalt Strike C2 Fronted Domain,/ca
alivod.med126.com,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
allforcsw.tech,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/2016/12/29136388_
altlass.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
amazoncloud.longmusic.com,Possible Cobalt Strike C2 Domain,/request/id/
amusient.com,Possible Cobalt Strike C2 Domain,/jquery-3.5.1.min.js
antliveplay.alicdn.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js
ap.kichbanclb.com,Possible Cobalt Strike C2 Fronted Domain,/c/msdownload/update/others/24565486_
apache.glogln.com,Possible Cobalt Strike C2 Domain,/projects.php
api.360.net.cdn.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain,/js/jquery-3.3.1.min
api.bnmcompanys.com,Possible Cobalt Strike C2 Domain,/cgi-bin/mmwebwx-bin/webwxgetcontact
api.down.flashplayer.app,Possible Cobalt Strike C2 Domain,/activity
api.signalr-azure.net,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.1.1.min.js
api.v3stech.com,Possible Cobalt Strike C2 Domain,/visit.js
api.yelp.com,Possible Cobalt Strike C2 Fronted Domain,/mail/u/0/#inbox
appdownload.wbiao.cn,Possible Cobalt Strike C2 Fronted Domain,/load
application.santiago-llc-67392.workers.dev,Possible Cobalt Strike C2 Domain,/poll
apply.ondemandfinancing.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-1.13.0.min.js
appres.santiago-llc-67395.workers.dev,Possible Cobalt Strike C2 Fronted Domain,/poll
asismdnu.asisdns.space,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
assist.azureedge.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
atsecurity.tk,Possible Cobalt Strike C2 Domain,/cm
avetool.com,Possible Cobalt Strike C2 Domain,/us/ky/louisville/312-s-fourth-st.html
awayfar.top,Possible Cobalt Strike C2 Domain,/g.pixel
awayfar.top,Possible Cobalt Strike C2 Domain,/load
azurecloud.dynssl.com,Possible Cobalt Strike C2 Domain,/update/
b.l1stary.xyz,Possible Cobalt Strike C2 Fronted Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books
baidu.foreign36ogg.tk,Possible Cobalt Strike C2 Domain,/wp06/wp-includes/po.php
baiduyuna.tk,Possible Cobalt Strike C2 Domain,/adminhtml
banweb.cityu.dev,Possible Cobalt Strike C2 Domain,/include/template/ClassSvc.php
basisem.com,Possible Cobalt Strike C2 Domain,/fwlink
bbs.robomaster.com,Possible Cobalt Strike C2 Fronted Domain,/viewerng/meta
beast.cyberstonesecurity.com,Possible Cobalt Strike C2 Domain,/cx
