#domain,ioc,uri_path,ip
010secapts001.icu,Possible Cobalt Strike C2 Domain,/api/3,107.174.115.223
0sbs.sbs,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,149.28.23.91
0xawad.xyz,Possible Cobalt Strike C2 Domain,/__utm.gif,141.147.143.12
1.thecameleonhotel.com,Possible Cobalt Strike C2 Domain,/dpixel,159.223.193.11
111db-k7.com,Possible Cobalt Strike C2 Domain,/api/3,96.45.191.113
1259040531-31x03snbo5.ap-hongkong.tencentscf.com,Possible Cobalt Strike C2 Domain,/ga.js,43.155.70.144
1312435925-7dv55errro.ap-beijing.tencentscf.com,Possible Cobalt Strike C2 Domain,/api/getit,152.136.60.26
1313297433-2h7d0qnna2.ap-beijing.tencentscf.com,Possible Cobalt Strike C2 Domain,/jquerys-7.55.3.max.js,81.70.201.88
1322304776-iwjxsjqnh4.ap-shanghai.tencentscf.com,Possible Cobalt Strike C2 Domain,/oa/js/jquery-3.3.1.min.js,110.40.213.80
1398747042169696.cn-hangzhou.fc.aliyuncs.com,Possible Cobalt Strike C2 Domain,/2016-08-15/proxy/kkk.LATEST/proxy/index.html,117.50.186.11
14hzqvxg1j2g9.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/ca,47.103.218.35
24-692.wpsconnect.org,Possible Cobalt Strike C2 Domain,/wp-content/themes/am43-6/dist/records,34.41.14.254
27f76262fa1a4c30aea7e97217a43168.apig.cn-south-1.huaweicloudapis.com,Possible Cobalt Strike C2 Domain,https://27f76262fa1a4c30aea7e97217a43168.apig.cn-south-1.huaweicloudapis.com/apig-user-defined-authentication-python-1731997678414,111.229.82.156
360.net,Possible Cobalt Strike C2 Fronting Domain,/api/3,192.252.183.228
3se9ewodke339f0e82.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,171.244.143.184
3se9ewodke339f0e83.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,18.162.96.155
4p0cryph0n.com,Possible Cobalt Strike C2 Domain,/__utm.gif,172.105.61.144
51ape.cc,Possible Cobalt Strike C2 Fronted Domain,/api/getit,59.110.136.135
52.52cn.site,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,8.152.219.98
52.52mxd.org,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,155.138.225.144
55yjbp57423mh.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,111.229.82.156
57f3r1b1-33333.asse.devtunnels.ms,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,175.178.226.246
5k0jev8t9zj4z.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/getit,39.102.213.118
7.tcp.cpolar.top,Possible Cobalt Strike C2 Domain,/s/58462514417,8.149.128.131
7d6zcdxt-443.euw.devtunnels.ms,Possible Cobalt Strike C2 Domain,/weep/number_t_UZBVY4ZM,172.232.132.65
8j6dt21smgcw0.cfc-execute.su.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,8.134.130.147
9v4h3b24g7nym.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,124.222.93.70
BAS.netspi.com,Possible Cobalt Strike C2 Fronting Domain,/api/events/details,18.169.243.153
BAS.netspi.com,Possible Cobalt Strike C2 Fronting Domain,/c/msdownload/update/others/2021/10/KVWuZ-B-J1QQGFYWebA47wLFn,3.9.189.194
Microsoft.com,Possible Cobalt Strike C2 Fronting Domain,/lv,142.171.104.108
aaa-bbb-xnibhcfkew.cn-shanghai.fcapp.run,Possible Cobalt Strike C2 Domain,/img/logo.jpg,60.204.134.21
aaa.ad4min.com,Possible Cobalt Strike C2 Domain,/g.pixel,198.13.42.85
aaa.cdn.iris-consulting.de,Possible Cobalt Strike C2 Domain,/jquery.min.js,18.197.102.82
aaa.cdn.iris-consulting.de,Possible Cobalt Strike C2 Domain,/jquery.min.js,3.72.24.250
abbyjons.smugmug.com,Possible Cobalt Strike C2 Fronted Domain,/broadcast,109.123.236.241
abdullah.ns.cloudflare.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,154.12.55.177
actions.reonite.site,Possible Cobalt Strike C2 Domain,/activity,164.90.239.60
activityinsight.backupdatasolution.com,Possible Cobalt Strike C2 Domain,/RCeb3678c1c2064f438a034477f670e651-file.min.js,147.45.47.69
ad.atb360.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,47.250.178.186
ads.atb360.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.250.178.186
ads.atb360.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,47.250.178.186
agsinsight.backupdatasolution.com,Possible Cobalt Strike C2 Domain,/RCeb3678c1c2064f438a034477f670e651-file.min.js,147.45.47.69
akmxoec3rruipclxmqot7t4kem0hecla.lambda-url.eu-west-2.on.aws,Possible Cobalt Strike C2 Domain,/software-activation,18.135.98.110
alipay.kfcvm50.us.kg,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,89.117.0.75
alliyun.shop,Possible Cobalt Strike C2 Domain,/v2/js/jquery-3.3.1.min.js,39.102.213.118
allmahco.com,Possible Cobalt Strike C2 Domain,/owa/LjVcxjwVsmwefrhDkcDl8eQ3ZwnzaL7cNoPI,79.132.128.110
ams-wcd.backupdatasolution.com,Possible Cobalt Strike C2 Domain,/RCeb3678c1c2064f438a034477f670e651-file.min.js,147.45.47.69
api.cnh1usi12djisa.online,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,47.92.146.245
api.co-operativefinance.com,Possible Cobalt Strike C2 Domain,/push,44.193.202.139
api.freeresolver.online,Possible Cobalt Strike C2 Domain,/portes-ouvertes/fiche/7352,89.38.131.17
api.googleshop.cc,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,198.98.57.26
api.nbcbcheck.xyz,Possible Cobalt Strike C2 Domain,/index.html,101.126.21.197
api.netseeker.top,Possible Cobalt Strike C2 Domain,/owa/,124.220.180.112
api.seamrrobots.ddns-ip.net,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,66.42.53.222
api.toptoptop6.top,Possible Cobalt Strike C2 Domain,/jp,101.32.37.92
api.windowsystemupdate.com,Possible Cobalt Strike C2 Domain,/dhl.html,150.109.238.99
api.windowsystemupdate.com,Possible Cobalt Strike C2 Domain,/groupcp.html,150.109.238.99
apistudio.xyz,Possible Cobalt Strike C2 Domain,/vs-section,205.185.114.254
appweb-fbbafboydh.cn-hangzhou.fcapp.run,Possible Cobalt Strike C2 Domain,/jquery-3.3.11.min.js,8.134.251.198
aqjcjss.top,Possible Cobalt Strike C2 Domain,/_/scs/mail-static/_/js/,47.242.37.176
artefakt.network,Possible Cobalt Strike C2 Domain,/safebrowsing/webpack/component/page-data.json,82.67.60.21
artefakt.uk,Possible Cobalt Strike C2 Domain,/safebrowsing/webpack/component/page-data.json,82.67.60.21
aselzan.com.tr,Possible Cobalt Strike C2 Domain,/asel,185.17.115.238
aselzan.com.tr,Possible Cobalt Strike C2 Domain,/aselsan,185.17.115.238
aselzan.com.tr,Possible Cobalt Strike C2 Domain,/cx,185.17.115.238
at1.227api.com,Possible Cobalt Strike C2 Domain,/match,154.83.12.115
at2.227api.com,Possible Cobalt Strike C2 Domain,/g.pixel,154.83.12.115
at3.227api.com,Possible Cobalt Strike C2 Domain,/ptj,154.83.12.115
ba1do.ip-ddns.com,Possible Cobalt Strike C2 Domain,/fwlink,150.158.41.153
backup-info.space,Possible Cobalt Strike C2 Domain,/__utm.gif,46.175.150.13
baidu.611110.xyz,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,158.180.74.142
balto1.netspi-bas.com,Possible Cobalt Strike C2 Fronted Domain,/api/events/details,18.169.243.153
baznas.dompetdhuaafa.biz.id,Possible Cobalt Strike C2 Fronted Domain,/ee,159.223.36.127
bb.zmjjkk.shop,Possible Cobalt Strike C2 Fronted Domain,/api/3,38.55.193.170
bbb.cdn.iris-consulting.de,Possible Cobalt Strike C2 Domain,/jquery.min.js,18.197.102.82
bbb.cdn.iris-consulting.de,Possible Cobalt Strike C2 Domain,/jquery.min.js,3.72.24.250
bbs.lvsehacker.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,45.14.226.64
beermanialab.art,Possible Cobalt Strike C2 Fronted Domain,/html,198.12.127.223
bejing-basfezghkf.cn-beijing.fcapp.run,Possible Cobalt Strike C2 Domain,/index.jsp,47.100.36.233
berita-banten.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronting Domain,/dhl,159.223.36.127
berita-banten.kumbaraan.biz.id,Possible Cobalt Strike C2 Fronting Domain,/ee,159.223.36.127
berzerun.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,94.232.43.211
bibibi.google.com,Possible Cobalt Strike C2 Domain,/upset/v8.46/6P3ZMHTM,167.179.74.154
bililbili.xyz,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,39.100.100.54
bililbili.xyz,Possible Cobalt Strike C2 Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,47.92.192.119
bk1cm59ddrtqb.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,124.71.192.162
book.hotel-park-inn.fr,Possible Cobalt Strike C2 Domain,/get,20.229.205.204
