#domain,ioc,uri_path,ip
265ea973-18d6-47d2-8796-29db4decc888-00-lq5hf5va4e7m.pike.replit.dev,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,154.89.205.162
28k85x5jb1k9a.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/v1/get,116.205.242.143
2za55fsge8fbj.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/wechat,43.143.229.126
360brain.360aisec.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,118.89.182.140
360sec-dns.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,118.89.182.140
360sec-dns.com,Possible Cobalt Strike C2 Fronting Domain,/jquery-3.3.1.min.js,118.89.182.140
3se9ewodke339f0e82.connectivitytests.com,Possible Cobalt Strike C2 Fronted Domain,/jquery-3.3.1.min.js,171.244.143.184
47sqwjxze4941.cfc-execute.su.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,106.13.74.33
4gjhr5qxhyaj1.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/load,8.135.237.16
519nmcj312v7y.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,117.72.39.83
548125.com,Possible Cobalt Strike C2 Domain,/s/58462514417,43.255.159.28
6gpwqae72132.cfc-execute.gz.baidubce.com,Possible Cobalt Strike C2 Domain,/api/v1/get,113.45.175.15
73w6tr0x1tnay.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,150.158.21.250
8k8hj9277yjde.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,156.227.233.153
8vz75cfcfmey5.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,8.134.218.67
a89kswn22cnkn.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,106.53.52.127
a89kswn22cnkn.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/api/x,119.45.29.172
accesserdsc.com,Possible Cobalt Strike C2 Domain,/pixel,154.201.74.112
api.co-operativefinance.com,Possible Cobalt Strike C2 Domain,/cx,44.193.202.139
api.cryptpro.cloud,Possible Cobalt Strike C2 Fronting Domain,/dhl,138.124.15.54
api.cryptpro.cloud,Possible Cobalt Strike C2 Fronting Domain,/fam_newspaper,138.124.15.54
api.uploads.winhomesky.com,Possible Cobalt Strike C2 Domain,/GovSistema/76e6f4821267ec98f94336ad5c500b21/download,8.219.211.139
api.xiaomis.lol,Possible Cobalt Strike C2 Domain,/wc/58462514417,110.40.185.107
apiapi.it121fdg.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,43.163.116.82
apps.soft-storelive.com,Possible Cobalt Strike C2 Domain,/static/bootstrap/js/bootstrap.min.js,8.209.116.25
asdxxcg.top,Possible Cobalt Strike C2 Domain,/match,113.45.238.149
asusupdateserver.asuscomm.com,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,38.54.112.234
at1.227api.com,Possible Cobalt Strike C2 Domain,/pixel,154.83.12.115
at2.227api.com,Possible Cobalt Strike C2 Domain,/dot.gif,154.83.12.115
at3.227api.com,Possible Cobalt Strike C2 Domain,/ga.js,154.83.12.115
c.testcs888.com,Possible Cobalt Strike C2 Domain,/j.ad,45.141.233.66
c2.250621.xyz,Possible Cobalt Strike C2 Fronted Domain,/milu_image/,8.138.23.192
c2.moustartline.com,Possible Cobalt Strike C2 Domain,/updates.rss,43.159.52.193
ca.qianxin.com,Possible Cobalt Strike C2 Fronting Domain,/ga.js,101.42.239.131
ca.qianxin.com.dsa.dnsv1.com,Possible Cobalt Strike C2 Fronted Domain,/ga.js,101.42.239.131
casaos.oss-cn-shanghai.aliyuncs.com,Possible Cobalt Strike C2 Fronting Domain,/gateway/api/user,47.98.134.252
catmyinfo.top,Possible Cobalt Strike C2 Domain,/api/catinfo,165.154.244.73
cdn.looklook.sbs,Possible Cobalt Strike C2 Domain,/img/logo.jpg,47.96.13.97
cdn.moneycomesagain.click,Possible Cobalt Strike C2 Domain,/jquery/3.6.1/jquery.min.js,155.94.155.76
cdn.soft.qianxin.com,Possible Cobalt Strike C2 Fronted Domain,/index/bj/index_100_100.html,43.140.215.17
cf.1v5sd1c2ds.com,Possible Cobalt Strike C2 Domain,/pixel,45.141.233.66
cf.testcs888.com,Possible Cobalt Strike C2 Domain,/fwlink,45.141.233.66
cfd.njpji.edu.cn,Possible Cobalt Strike C2 Fronted Domain,/gateway/api/user,47.98.134.252
check.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,45.32.125.231
check1.judicical.ml,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js,45.32.125.231
cjfrde8g2386q.cfc-execute.bj.baidubce.com,Possible Cobalt Strike C2 Domain,/s/58462514417,154.219.119.203
cladonia.team,Possible Cobalt Strike C2 Fronted Domain,/jquerys-6.3.5.max.js,101.35.109.246
cloud-sync-bcjxmnarpb.cn-shanghai.fcapp.run,Possible Cobalt Strike C2 Domain,/img/logo.jpg,39.102.213.118
cmccopen.cn,Possible Cobalt Strike C2 Fronting Domain,/s/ref=nb_sb_noss_1/167-3294888-0262949/field-keywords=books,101.133.225.51
cryptpro.cloud,Possible Cobalt Strike C2 Fronted Domain,/fam_newspaper,138.124.15.54
