#domain,ioc,ip
0b.vc,Possible Interactsh Domain (Unverified),65.0.222.46
0cs.org,Possible Interactsh Domain (Unverified),85.214.247.56
0dk.cc,Possible Interactsh Domain (Unverified),142.93.167.68
109313.xyz,Possible Interactsh Domain (Unverified),45.32.92.170
143-110-151-209.cprapid.com,Possible Sliver Domain (Unverified),143.110.151.209
1532.dedi.hostingby.design,Possible Reverse_SSH Domain (Unverified),85.17.145.116
172-239-57-52.ip.linodeusercontent.com,Possible AdaptixC2 Domain (Unverified),172.239.57.52
3420.top,Possible Reverse_SSH Domain (Unverified),192.151.223.214
3834.top,Possible Reverse_SSH Domain (Unverified),192.151.223.213
3m4.eu,Possible Interactsh Domain (Unverified),95.217.241.30
3xe.nl,Possible Interactsh Domain (Unverified),188.166.80.201
409.d.itsby.design,Possible Reverse_SSH Domain (Unverified),94.75.223.124
455656.xyz,Possible Interactsh Domain (Unverified),102.129.185.27
4armed.sh,Possible Interactsh Domain (Unverified),45.76.136.134
5.101.82.229.sslip.io,Possible Remcos Domain (Unverified),5.101.82.229
52ywp.com,Possible NetSupportRAT Domain (Unverified),120.25.239.36
9p.mom,Possible Interactsh Domain (Unverified),146.190.160.109
a.0-a.cc,Possible Interactsh Domain (Unverified),143.198.125.88
a.dnsg.cc,Possible Interactsh Domain (Unverified),149.28.21.111
a.qaz.pw,Possible Interactsh Domain (Unverified),158.179.221.3
aa2acba4.is.randori.io,Possible Interactsh Domain (Unverified),35.224.165.87
aao.ns.wssfpro.business,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.25
aao.vastile.hickory.business,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.129.23
acc.clark.goodventure.business,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.80
acc.luis.trueline.business,Possible Evilginx/EvilGoPhish Domain (Unverified),185.212.128.76
accounts.ofizen.cfd,Possible Evilginx/EvilGoPhish Domain (Unverified),172.245.97.237
acme.575728.xyz,Possible wstunnel Domain (Unverified),128.204.223.46
admin.amschool.ufotech.co,Possible Hak5 Cloud C2 Domain (Unverified),143.198.63.148
ads.daluquan.top,Possible Viper Domain (Unverified),23.94.44.214
aegemeinsam.shop,Possible Havoc Domain (Unverified),194.37.80.126
aisoc.xyasec.com,Possible AdaptixC2 Domain (Unverified),149.104.28.204
algaliarept.net,Possible Interactsh Domain (Unverified),172.234.220.197
alice.skybot.party,Possible Interactsh Domain (Unverified),128.140.81.119
amcdn.mosaiira.nl,Possible Interactsh Domain (Unverified),31.223.170.180
amcello.store,Possible Ligolo-ng Domain (Unverified),203.194.115.135
amp.remonde.com,Possible wstunnel Domain (Unverified),119.23.77.172
aoligeigei.top,Possible Interactsh Domain (Unverified),83.229.120.20
apac.collab.tr4t.io,Possible Interactsh Domain (Unverified),34.101.119.172
api.luxury.cqwangluo.com,Possible Interactsh Domain (Unverified),47.111.186.40
apidevelopers.enercomhn.com,Possible NetSupportRAT Domain (Unverified),200.107.126.227
apm.vpce.gdw55e.3068000f.ids.selectahrsolutions.com,Possible Evilginx/EvilGoPhish Domain (Unverified),124.198.131.115
app.bypassconnect.digital,Possible Remcos Domain (Unverified),146.185.239.55
app.d.o4st.net,Possible Interactsh Domain (Unverified),34.26.52.118
app.lokana.io,Possible Interactsh Domain (Unverified),102.203.220.9
app.protagsystems.io,Possible Interactsh Domain (Unverified),136.244.87.145
app.root.s1-cns-ose-use1-dev.sentinelone.net,Possible Interactsh Domain (Unverified),18.209.114.189
app.servverr.duckdns.org,Possible Hak5 Cloud C2 Domain (Unverified),104.248.139.111
appflowmetrics.com,Possible Interactsh Domain (Unverified),142.93.155.175
appflowmetrics.com,Possible Interactsh Domain (Unverified),162.255.119.190
apt-odw.merckgroup.com,Possible Interactsh Domain (Unverified),20.113.86.152
argonlogic.com,Possible Hak5 Cloud C2 Domain (Unverified),209.145.50.30
arkencollab.org,Possible Interactsh Domain (Unverified),137.184.25.225
artemyshumskiy.com,Possible Mythic Domain (Unverified),209.38.110.161
asdxxcg.top,Possible Reverse_SSH Domain (Unverified),113.45.238.149
asdxxcg.top,Possible Supershell Domain (Unverified),113.45.238.149
asi.oastable.com,Possible Interactsh Domain (Unverified),45.63.110.208
assetnote-callback.com,Possible Interactsh Domain (Unverified),45.79.215.101
auth.kbxx.net,Possible Interactsh Domain (Unverified),104.225.216.127
