#domain,port,ioc,ip
096807104.box.freepro.com,443,Possible PiKVM Domain (Unverified),82.96.166.128
096807104.box.freepro.com,80,Possible PiKVM Domain (Unverified),82.96.166.128
11223344.online,8082,Possible NanoKVM Domain (Unverified),78.29.12.0
123825663.box.freepro.com,443,Possible PiKVM Domain (Unverified),149.232.200.68
1c.autosvet61.ru,11180,Possible NanoKVM Domain (Unverified),185.216.192.89
1c.it-bor.ru,41593,Possible NanoKVM Domain (Unverified),188.235.105.83
1c.it-bor.ru,41594,Possible NanoKVM Domain (Unverified),188.235.105.83
235128847.box.freepro.com,4443,Possible PiKVM Domain (Unverified),212.114.31.56
2rrcpc.ddns.net,41948,Possible GLKVM Domain (Unverified),207.115.122.109
4m134gc6zhalibii.myfritz.net,443,Possible NanoKVM Domain (Unverified),109.250.17.182
52yqc.com,26740,Possible PiKVM Domain (Unverified),116.204.134.92
913754280.box.freepro.com,20443,Possible PiKVM Domain (Unverified),130.180.221.66
91msp.com,9443,Possible PiKVM Domain (Unverified),39.101.180.111
_dmarc.r2.glkvm.com,443,Possible GLKVM Domain (Unverified),34.194.92.217
aaronvoxel.direct.quickconnect.to,5500,Possible PiKVM Domain (Unverified),98.123.166.42
access-manager.ovh,8084,Possible GLKVM Domain (Unverified),193.218.203.8
acumenx.duckdns.org,59308,Possible NanoKVM Domain (Unverified),210.6.109.18
admin.cweave.fr,444,Possible NanoKVM Domain (Unverified),176.144.202.21
admin.re-star.ru,8090,Possible NanoKVM Domain (Unverified),217.13.218.239
adminpetrodgiga.netcraze.pro,8989,Possible NanoKVM Domain (Unverified),178.252.115.39
adnanahmad.net,9991,Possible GLKVM Domain (Unverified),107.132.134.154
adobexp.com,3104,Possible TinyPilot KVM Domain (Unverified),45.132.142.135
ai.obtv.io,8082,Possible TinyPilot KVM Domain (Unverified),98.191.147.191
aifamilynas.com,38602,Possible PiKVM Domain (Unverified),43.161.230.89
aishouhu.net,6001,Possible GLKVM Domain (Unverified),123.180.179.218
aishouhu.net,6002,Possible GLKVM Domain (Unverified),123.180.179.218
ajikibase.direct.quickconnect.to,62212,Possible GLKVM Domain (Unverified),106.72.35.161
ajikibase.direct.quickconnect.to,62214,Possible GLKVM Domain (Unverified),106.72.35.161
alepim.keenetic.pro,443,Possible NanoKVM Domain (Unverified),77.239.252.131
