#ip,status,location
154.16.49.4,CyberGhost VPN IP,US-0
191.96.227.6,CyberGhost VPN IP,US-1
89.187.171.154,CyberGhost VPN IP,US-2
156.146.51.193,CyberGhost VPN IP,US-3
212.102.41.25,CyberGhost VPN IP,US-4
87.249.132.169,CyberGhost VPN IP,DE-0
87.249.132.177,CyberGhost VPN IP,DE-1
213.202.233.112,CyberGhost VPN IP,DE-2
181.214.173.215,CyberGhost VPN IP,DE-3
95.134.63.5,CyberGhost VPN IP,DE-4
203.188.182.65,CyberGhost VPN IP,GB-0
45.133.173.98,CyberGhost VPN IP,GB-1
203.188.182.97,CyberGhost VPN IP,GB-2
138.199.30.31,CyberGhost VPN IP,GB-3
138.199.31.91,CyberGhost VPN IP,GB-4
66.56.82.1,CyberGhost VPN IP,CA-0
5.181.233.66,CyberGhost VPN IP,CA-1
179.61.197.125,CyberGhost VPN IP,CA-2
140.228.21.2,CyberGhost VPN IP,CA-3
140.228.21.7,CyberGhost VPN IP,CA-4
84.17.60.6,CyberGhost VPN IP,FR-0
84.17.60.78,CyberGhost VPN IP,FR-1
92.204.174.82,CyberGhost VPN IP,FR-2
203.188.183.2,CyberGhost VPN IP,FR-3
92.204.175.82,CyberGhost VPN IP,FR-4
103.212.227.72,CyberGhost VPN IP,AU-0
103.212.227.71,CyberGhost VPN IP,AU-1
45.130.141.63,CyberGhost VPN IP,AU-2
45.130.141.32,CyberGhost VPN IP,AU-3
103.212.227.74,CyberGhost VPN IP,AU-4
146.70.52.114,CyberGhost VPN IP,RU-0
146.70.52.226,CyberGhost VPN IP,RU-1
146.70.52.98,CyberGhost VPN IP,RU-2
146.70.52.13,CyberGhost VPN IP,RU-3
146.70.52.194,CyberGhost VPN IP,RU-4
173.239.220.2,CyberGhost VPN IP,EC-0
173.239.217.15,CyberGhost VPN IP,AD-0
173.239.217.2,CyberGhost VPN IP,AD-1
188.241.177.34,CyberGhost VPN IP,BR-0
188.241.177.130,CyberGhost VPN IP,BR-1
188.241.177.146,CyberGhost VPN IP,BR-2
188.241.177.2,CyberGhost VPN IP,BR-3
188.241.177.114,CyberGhost VPN IP,BR-4
84.239.14.132,CyberGhost VPN IP,RO-0
84.239.49.132,CyberGhost VPN IP,RO-1
143.244.52.60,CyberGhost VPN IP,RO-2
84.239.49.4,CyberGhost VPN IP,RO-3
85.9.20.143,CyberGhost VPN IP,RO-4
156.146.35.26,CyberGhost VPN IP,JP-0
138.199.39.161,CyberGhost VPN IP,JP-1
154.47.20.205,CyberGhost VPN IP,JP-2
156.146.35.1,CyberGhost VPN IP,JP-3
95.181.232.14,CyberGhost VPN IP,MA-0
95.181.232.130,CyberGhost VPN IP,MA-1
138.199.56.251,CyberGhost VPN IP,CZ-0
195.181.161.1,CyberGhost VPN IP,CZ-1
37.19.223.199,CyberGhost VPN IP,AT-0
89.187.168.129,CyberGhost VPN IP,AT-1
154.47.18.99,CyberGhost VPN IP,AT-2
154.47.18.153,CyberGhost VPN IP,AT-3
154.47.18.50,CyberGhost VPN IP,AT-4
173.244.42.145,CyberGhost VPN IP,KR-0
154.47.23.11,CyberGhost VPN IP,KR-1
173.244.42.128,CyberGhost VPN IP,KR-2
146.70.15.2,CyberGhost VPN IP,MY-0
173.239.200.129,CyberGhost VPN IP,MY-1
196.196.53.34,CyberGhost VPN IP,LV-0
196.196.53.114,CyberGhost VPN IP,LV-1
196.196.53.18,CyberGhost VPN IP,LV-2
188.126.94.194,CyberGhost VPN IP,DK-0
188.126.94.226,CyberGhost VPN IP,DK-1
212.112.19.34,CyberGhost VPN IP,DK-2
146.70.22.34,CyberGhost VPN IP,ES-0
45.134.213.161,CyberGhost VPN IP,ES-1
196.245.54.15,CyberGhost VPN IP,ES-2
82.102.26.210,CyberGhost VPN IP,ES-3
37.120.142.50,CyberGhost VPN IP,ES-4
176.125.230.130,CyberGhost VPN IP,MT-0
176.125.230.146,CyberGhost VPN IP,MT-1
188.213.34.34,CyberGhost VPN IP,TR-0
188.213.34.2,CyberGhost VPN IP,TR-1
188.213.34.10,CyberGhost VPN IP,TR-2
62.12.118.194,CyberGhost VPN IP,KE-0
191.96.168.4,CyberGhost VPN IP,NL-0
191.96.168.2,CyberGhost VPN IP,NL-1
