#ip,ioc
141.148.141.2,Possible Mysterium Network Node
38.13.133.14,Possible Mysterium Network Node
42.117.2.215,Possible Mysterium Network Node
86.38.216.35,Possible Mysterium Network Node
38.13.130.141,Possible Mysterium Network Node
38.13.129.145,Possible Mysterium Network Node
94.74.114.66,Possible Mysterium Network Node
82.77.207.128,Possible Mysterium Network Node
198.23.235.133,Possible Mysterium Network Node
85.159.93.5,Possible Mysterium Network Node
50.191.72.93,Possible Mysterium Network Node
156.229.161.217,Possible Mysterium Network Node
83.168.78.185,Possible Mysterium Network Node
129.146.33.233,Possible Mysterium Network Node
38.13.136.173,Possible Mysterium Network Node
38.13.145.164,Possible Mysterium Network Node
38.13.162.47,Possible Mysterium Network Node
38.13.165.29,Possible Mysterium Network Node
38.13.161.148,Possible Mysterium Network Node
213.130.151.170,Possible Mysterium Network Node
38.13.141.52,Possible Mysterium Network Node
62.84.171.36,Possible Mysterium Network Node
38.13.153.3,Possible Mysterium Network Node
185.241.42.237,Possible Mysterium Network Node
38.13.159.192,Possible Mysterium Network Node
82.165.212.122,Possible Mysterium Network Node
5.181.177.150,Possible Mysterium Network Node
88.208.213.224,Possible Mysterium Network Node
38.13.155.86,Possible Mysterium Network Node
38.13.142.20,Possible Mysterium Network Node
38.13.166.108,Possible Mysterium Network Node
40.233.28.212,Possible Mysterium Network Node
38.13.145.107,Possible Mysterium Network Node
50.117.3.36,Possible Mysterium Network Node
46.203.248.233,Possible Mysterium Network Node
45.88.138.253,Possible Mysterium Network Node
104.195.29.33,Possible Mysterium Network Node
46.202.40.254,Possible Mysterium Network Node
38.13.135.151,Possible Mysterium Network Node
38.13.133.236,Possible Mysterium Network Node
70.237.101.217,Possible Mysterium Network Node
38.13.179.168,Possible Mysterium Network Node
38.13.180.232,Possible Mysterium Network Node
38.13.129.94,Possible Mysterium Network Node
46.202.225.238,Possible Mysterium Network Node
38.13.176.45,Possible Mysterium Network Node
38.13.164.55,Possible Mysterium Network Node
38.13.132.77,Possible Mysterium Network Node
38.13.176.211,Possible Mysterium Network Node
38.13.162.209,Possible Mysterium Network Node
38.13.163.5,Possible Mysterium Network Node
38.13.166.119,Possible Mysterium Network Node
38.13.132.43,Possible Mysterium Network Node
38.13.138.86,Possible Mysterium Network Node
38.13.132.89,Possible Mysterium Network Node
38.13.147.47,Possible Mysterium Network Node
83.168.78.207,Possible Mysterium Network Node
191.242.74.195,Possible Mysterium Network Node
38.248.243.17,Possible Mysterium Network Node
46.203.248.218,Possible Mysterium Network Node
38.248.254.100,Possible Mysterium Network Node
38.13.145.187,Possible Mysterium Network Node
62.72.168.220,Possible Mysterium Network Node
172.245.251.205,Possible Mysterium Network Node
178.158.223.226,Possible Mysterium Network Node
177.193.128.20,Possible Mysterium Network Node
178.158.223.246,Possible Mysterium Network Node
199.68.192.202,Possible Mysterium Network Node
86.38.200.73,Possible Mysterium Network Node
178.158.211.10,Possible Mysterium Network Node
145.79.155.17,Possible Mysterium Network Node
38.13.134.221,Possible Mysterium Network Node
38.13.145.205,Possible Mysterium Network Node
129.153.93.1,Possible Mysterium Network Node
46.202.40.195,Possible Mysterium Network Node
145.79.155.104,Possible Mysterium Network Node
145.79.169.109,Possible Mysterium Network Node
132.226.27.107,Possible Mysterium Network Node
180.149.32.240,Possible Mysterium Network Node
3.27.195.152,Possible Mysterium Network Node
208.85.9.221,Possible Mysterium Network Node
129.151.200.111,Possible Mysterium Network Node
159.65.50.71,Possible Mysterium Network Node
38.13.146.175,Possible Mysterium Network Node
38.13.165.56,Possible Mysterium Network Node
154.83.85.220,Possible Mysterium Network Node
103.131.191.73,Possible Mysterium Network Node
185.203.125.135,Possible Mysterium Network Node
40.233.17.125,Possible Mysterium Network Node
177.64.231.163,Possible Mysterium Network Node
199.16.242.215,Possible Mysterium Network Node
38.13.180.250,Possible Mysterium Network Node
177.64.251.8,Possible Mysterium Network Node
134.199.149.184,Possible Mysterium Network Node
38.13.180.173,Possible Mysterium Network Node
109.98.211.10,Possible Mysterium Network Node
129.146.79.193,Possible Mysterium Network Node
104.195.29.23,Possible Mysterium Network Node
132.226.125.120,Possible Mysterium Network Node
103.179.217.70,Possible Mysterium Network Node
106.241.24.49,Possible Mysterium Network Node
145.79.155.131,Possible Mysterium Network Node
129.146.2.145,Possible Mysterium Network Node
145.79.155.165,Possible Mysterium Network Node
211.218.227.226,Possible Mysterium Network Node
38.13.137.60,Possible Mysterium Network Node
38.13.133.177,Possible Mysterium Network Node
143.110.229.48,Possible Mysterium Network Node
129.146.121.220,Possible Mysterium Network Node
38.13.177.85,Possible Mysterium Network Node
145.79.169.34,Possible Mysterium Network Node
38.13.140.159,Possible Mysterium Network Node
38.13.166.153,Possible Mysterium Network Node
38.13.144.132,Possible Mysterium Network Node
185.203.125.99,Possible Mysterium Network Node
129.153.67.137,Possible Mysterium Network Node
138.68.173.84,Possible Mysterium Network Node
38.13.144.2,Possible Mysterium Network Node
38.248.243.204,Possible Mysterium Network Node
165.232.98.6,Possible Mysterium Network Node
38.13.143.60,Possible Mysterium Network Node
38.248.254.120,Possible Mysterium Network Node
129.146.122.156,Possible Mysterium Network Node
51.89.116.189,Possible Mysterium Network Node
164.92.92.191,Possible Mysterium Network Node
38.13.152.218,Possible Mysterium Network Node
165.1.66.229,Possible Mysterium Network Node
74.235.223.147,Possible Mysterium Network Node
38.13.165.89,Possible Mysterium Network Node
192.3.124.52,Possible Mysterium Network Node
103.145.35.54,Possible Mysterium Network Node
206.189.28.90,Possible Mysterium Network Node
178.158.223.234,Possible Mysterium Network Node
147.182.128.22,Possible Mysterium Network Node
45.79.194.128,Possible Mysterium Network Node
195.20.255.27,Possible Mysterium Network Node
141.147.72.66,Possible Mysterium Network Node
174.138.37.198,Possible Mysterium Network Node
139.59.176.149,Possible Mysterium Network Node
38.13.154.149,Possible Mysterium Network Node
92.113.147.166,Possible Mysterium Network Node
104.168.62.233,Possible Mysterium Network Node
94.156.11.96,Possible Mysterium Network Node
86.88.68.222,Possible Mysterium Network Node
159.69.94.208,Possible Mysterium Network Node
85.159.93.29,Possible Mysterium Network Node
83.168.88.82,Possible Mysterium Network Node
85.159.93.198,Possible Mysterium Network Node
89.213.182.198,Possible Mysterium Network Node
141.148.152.47,Possible Mysterium Network Node
172.93.186.225,Possible Mysterium Network Node
38.248.243.232,Possible Mysterium Network Node
38.13.128.167,Possible Mysterium Network Node
38.13.142.2,Possible Mysterium Network Node
38.13.141.143,Possible Mysterium Network Node
38.13.131.167,Possible Mysterium Network Node
38.13.163.109,Possible Mysterium Network Node
104.195.61.250,Possible Mysterium Network Node
38.13.184.190,Possible Mysterium Network Node
38.13.143.23,Possible Mysterium Network Node
38.13.176.189,Possible Mysterium Network Node
38.13.184.143,Possible Mysterium Network Node
38.13.128.98,Possible Mysterium Network Node
38.13.179.69,Possible Mysterium Network Node
62.84.171.60,Possible Mysterium Network Node
38.13.163.51,Possible Mysterium Network Node
38.13.153.109,Possible Mysterium Network Node
38.13.159.242,Possible Mysterium Network Node
38.248.243.201,Possible Mysterium Network Node
38.13.143.154,Possible Mysterium Network Node
38.13.154.111,Possible Mysterium Network Node
95.134.254.111,Possible Mysterium Network Node
38.13.145.121,Possible Mysterium Network Node
38.13.129.239,Possible Mysterium Network Node
38.13.153.247,Possible Mysterium Network Node
38.13.159.72,Possible Mysterium Network Node
38.13.140.172,Possible Mysterium Network Node
104.195.60.138,Possible Mysterium Network Node
38.13.135.91,Possible Mysterium Network Node
38.13.155.130,Possible Mysterium Network Node
70.237.101.230,Possible Mysterium Network Node
38.13.177.125,Possible Mysterium Network Node
38.13.137.62,Possible Mysterium Network Node
38.13.184.249,Possible Mysterium Network Node
38.13.186.7,Possible Mysterium Network Node
92.112.124.167,Possible Mysterium Network Node
38.13.176.77,Possible Mysterium Network Node
38.13.136.174,Possible Mysterium Network Node
212.227.102.161,Possible Mysterium Network Node
160.191.182.235,Possible Mysterium Network Node
46.202.40.253,Possible Mysterium Network Node
38.13.145.242,Possible Mysterium Network Node
129.146.75.34,Possible Mysterium Network Node
95.135.251.127,Possible Mysterium Network Node
208.85.11.158,Possible Mysterium Network Node
199.16.242.221,Possible Mysterium Network Node
185.203.125.34,Possible Mysterium Network Node
178.92.28.100,Possible Mysterium Network Node
185.126.255.49,Possible Mysterium Network Node
178.94.142.184,Possible Mysterium Network Node
38.13.162.168,Possible Mysterium Network Node
178.92.28.77,Possible Mysterium Network Node
38.13.179.177,Possible Mysterium Network Node
38.13.180.128,Possible Mysterium Network Node
177.64.246.132,Possible Mysterium Network Node
38.13.164.213,Possible Mysterium Network Node
38.13.186.139,Possible Mysterium Network Node
168.138.128.50,Possible Mysterium Network Node
195.128.25.7,Possible Mysterium Network Node
38.13.136.186,Possible Mysterium Network Node
151.242.59.119,Possible Mysterium Network Node
158.220.82.37,Possible Mysterium Network Node
129.146.237.226,Possible Mysterium Network Node
129.153.96.38,Possible Mysterium Network Node
38.13.143.47,Possible Mysterium Network Node
139.59.42.14,Possible Mysterium Network Node
185.203.125.207,Possible Mysterium Network Node
129.146.53.149,Possible Mysterium Network Node
185.255.4.27,Possible Mysterium Network Node
172.236.13.160,Possible Mysterium Network Node
103.196.20.84,Possible Mysterium Network Node
158.101.39.42,Possible Mysterium Network Node
